10thNov/HZ2throughputTest,HZ2_locatingFrame2.fits,r',2814,2771,Diagonal test
,HZ2throughputTest2.fits,r',2481,2490,
,HZ2throughputTest3.fits,r',1871,1920,
,HZ2throughputTest4.fits,r',1252,1343,
,HZ2throughputTest5.fits,r',619,704,
10thNov/HZ2throughputTowardGuider,HZ2_throughputTowardGuider10.fits,r',2819,3064,Horizontal test
,HZ2_throughputTowardGuider11.fits,r',2828,2507,
,HZ2_throughputTowardGuider12.fits,r',2836,1942,
,HZ2_throughputTowardGuider13.fits,r',2844,1376,
,HZ2_throughputTowardGuider14.fits,r',2853,811,
,HZ2_throughputTowardGuider15.fits,r',2862,237,
,HZ2_throughPutTowardGuider_guide_16.fits,r',202,1952,
,HZ2_throughPutTowardGuider_guide_17.fits,r',790,1955,
,HZ2_throughPutTowardGuider_guide_18.fits,r',807,808,
10thNov/HZ2uFilterComparison,HZ2_uFilterTest_guide_20.fits,u',804,816,Filter comparison
,HZ2_uFilterTest24.fits,u',2571,2517,
10thNov/LB227uFilterComparison,LB227_uFilterTest26.fits,u',2563,2536,Filter comparison
,LB227_uFilterTest_guide_37.fits,u',?,?,
1stMar/hz44/throughputTest_R,THROUGHPUT_TEST_R_HZ44_6.fits,r',5962,309,Diagonal test from bottom right corner to top left corner of the chip
,THROUGHPUT_TEST_R_HZ44_7.fits,r',5662,600,
,THROUGHPUT_TEST_R_HZ44_8.fits,r',5354,891,
,THROUGHPUT_TEST_R_HZ44_9.fits,r',5063,1174,
,THROUGHPUT_TEST_R_HZ44_10.fits,r',4763,1457,
,THROUGHPUT_TEST_R_HZ44_11.fits,r',4472,1749,
,THROUGHPUT_TEST_R_HZ44_12.fits,r',4180,2024,
,THROUGHPUT_TEST_R_HZ44_13.fits,r',3889,2298,
,THROUGHPUT_TEST_R_HZ44_14.fits,r',3606,2581,
,THROUGHPUT_TEST_R_HZ44_15.fits,r',3314,2856,
,THROUGHPUT_TEST_R_HZ44_17.fits,r',3031,3131,
,THROUGHPUT_TEST_R_HZ44_18.fits,r',2740,3414,
,THROUGHPUT_TEST_R_HZ44_19.fits,r',2457,3689,
,THROUGHPUT_TEST_R_HZ44_20.fits,r',2166,3963,
,THROUGHPUT_TEST_R_HZ44_21.fits,r',1882,4247,
,THROUGHPUT_TEST_R_HZ44_22.fits,r',1591,4521,
,THROUGHPUT_TEST_R_HZ44_24.fits,r',1308,4813,
,THROUGHPUT_TEST_R_HZ44_25.fits,r',1008,5087,
,THROUGHPUT_TEST_R_HZ44_27.fits,r',717,5379,
,THROUGHPUT_TEST_R_HZ44_29.fits,r',117,5962,
1stMar/hz44throughputTest_R/towardGuider/,THROUGHPUT_HORIZ_R_44.fits,r',2949,3317,Horizontal test
,THROUGHPUT_HORIZ_R_45.fits,r',2664,3308,
,THROUGHPUT_HORIZ_R_46.fits,r',2381,3300,
,THROUGHPUT_HORIZ_R_47.fits,r',2104,3382,
,THROUGHPUT_HORIZ_R_48.fits,r',1820,3373,
